team_id,season,affiliate_league,affiliate,league,team_name,classification,category,location_id,city,state,country,lat,long
2016_International_Rochester,2017,AL,MIN,International,Rochester,AAA,MiLB,Rochester_NY_US,Rochester,NY,US,43.157285,-77.615214
2016_DominicanSummer_Rockies,2017,NL,COL,Dominican Summer,Rockies,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_DominicanSummer_Rojos,2017,NL,CIN,Dominican Summer,Rojos,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_SouthAtlantic_Rome,2017,NL,ATL,South Atlantic,Rome,A-,MiLB,Rome_GA_US,Rome,GA,US,34.257038,-85.164673
2016_PacificCoast_RoundRock,2017,AL,TEX,Pacific Coast,Round Rock,AAA,MiLB,RoundRock_TX_US,Round Rock,TX,US,30.508235,-97.678893
2016_Arizona_Royals,2017,AL,KC,Arizona,Royals,Rk,MiLB,AZ_US,,AZ,US,34.395342,-111.763275
2016_DominicanSummer_Royals,2017,AL,KC,Dominican Summer,Royals,FRk,MiLB,DO,,,DO,19.097403,-70.302803
2016_Eastern_Binghamton,2017,NL,NYM,Eastern,Binghamton,AA,MiLB,Binghamton_NY_US,Binghamton,NY,US,42.096968,-75.914341
2016_Carolina_Salem,2017,AL,BOS,Carolina,Salem,A+,MiLB,Salem_VA_US,Salem,VA,US,37.293378,-80.054667
2016_Northwest_Salem-Keizer,2017,NL,SF,Northwest,Salem-Keizer,A-,MiLB,Keizer_OR_US,Keizer,OR,US,44.995808,-123.019717
2016_NewYork-Pennsylvania_StatenIsland,2017,AL,NYY,New York-Pennsylvania,Staten Island,A-,MiLB,StatenIsland_NY_US,Staten Island,NY,US,40.583456,-74.149605
2016_Northwest_Tri-City,2017,NL,SD,Northwest,Tri-City,A-,MiLB,Troy_NY_US,Troy,NY,US,42.728412,-73.691785
2016_California_SanJose,2017,NL,SF,California,San Jose,A+,MiLB,SanJose_CA_US,San Jose,CA,US,37.336191,-121.890583
